epoch time,date & time,smell value,skewed latitude,skewed longitude,zipcode,smell description,symptoms,additional comments
1567340751,09/01/2019 08:25:51 -04:00,5,43.6325,-70.2878,04106,Oil,"Headache, woke me up from sleep it’s so strong ",
1567606074,09/04/2019 10:07:54 -04:00,5,43.6423,-70.2882,04106,Oil,,
1567628545,09/04/2019 16:22:25 -04:00,3,43.6316,-70.3018,04106,Oil,,
1567682866,09/05/2019 07:27:46 -04:00,5,43.6324,-70.2906,04106,Oil,,
1567710490,09/05/2019 15:08:10 -04:00,4,43.6352,-70.2529,04106,Raw sewage ,Very irritating to the nose and throat,
1567768475,09/06/2019 07:14:35 -04:00,5,43.6325,-70.2824,04106,Tank fumes,,
1567798312,09/06/2019 15:31:52 -04:00,5,43.6316,-70.2824,04106,Oil,,
1567882568,09/07/2019 14:56:08 -04:00,3,43.6485,-70.2379,04106,Oil burning?,,
1567883134,09/07/2019 15:05:34 -04:00,4,43.6296,-70.2729,04106,,,
1567886041,09/07/2019 15:54:01 -04:00,4,43.6383,-70.3262,04106,awful VOC / ozone (?) industrial chemical smell from the ON Semiconductor plant,dry throat / mucosa ,
1567894161,09/07/2019 18:09:21 -04:00,4,43.6274,-70.276,04106,Burnt rubber smell,Throat irritation and dryness,
1567939173,09/08/2019 06:39:33 -04:00,3,43.6417,-70.238,04106,"Noxious, bitter",Stings my nose and slight headache,
1567947172,09/08/2019 08:52:52 -04:00,4,43.6342,-70.2842,04106,Tank fumes,,
1567991527,09/08/2019 21:12:07 -04:00,4,43.6245,-70.2908,04106,Diesel oil ,Rigby Storage Yard,
1568020068,09/09/2019 05:07:48 -04:00,3,43.6432,-70.2393,04106,"Noxious, bitter ",Stinging my eyes and the back of my throat.  My bedroom window was open about 2 inches and it was so bad it awakened me.,
1568025800,09/09/2019 06:43:20 -04:00,3,43.6255,-70.2919,04106,Oil,,
1568030773,09/09/2019 08:06:13 -04:00,3,43.6351,-70.236,04106,Smells like fuel,,
1568030802,09/09/2019 08:06:42 -04:00,3,43.6342,-70.235,04106,Fuel,,
1568031462,09/09/2019 08:17:42 -04:00,3,43.6292,-70.2512,04106,Petroleum,None,
1568034575,09/09/2019 09:09:35 -04:00,5,43.6426,-70.2449,04106,,,
1568039158,09/09/2019 10:25:58 -04:00,3,43.6314,-70.2553,04106,Oil tanks,Headache,
1568045683,09/09/2019 12:14:43 -04:00,1,43.6457,-70.2479,04106,,,
1568083407,09/09/2019 22:43:27 -04:00,5,43.6195,-70.3009,04106,Petrolium,"Burns nose, breathing hurts, headache, eyes burn",
1568114945,09/10/2019 07:29:05 -04:00,4,43.637,-70.2513,04106,Sewer,,
1568116302,09/10/2019 07:51:42 -04:00,4,43.6333,-70.2661,04106,Gas,,
1568240535,09/11/2019 18:22:15 -04:00,3,43.6339,-70.2708,04106,Oil,None,
1568285600,09/12/2019 06:53:20 -04:00,5,43.6329,-70.2791,04106,Burning rubber/oil smell,Throat irritation and headache,
1568289325,09/12/2019 07:55:25 -04:00,1,43.6357,-70.2737,04106,,,
1568331817,09/12/2019 19:43:37 -04:00,4,43.6399,-70.2948,04102,"Asphalt, oil",,
1568343613,09/12/2019 23:00:13 -04:00,5,43.6423,-70.2317,04106,Gulf oil tanker is now unloading at Bug Light. Fumes are horrendous all the way to Small School.,Nausea dizziness,
1568345848,09/12/2019 23:37:28 -04:00,4,43.6313,-70.2741,04106,,,
1568346269,09/12/2019 23:44:29 -04:00,5,43.6417,-70.2319,04106,Petroleum tank fumes,Sick,
1568410220,09/13/2019 17:30:20 -04:00,5,43.6261,-70.2898,04106,Exhaust,Throat hurts,
1568481622,09/14/2019 13:20:22 -04:00,3,43.6427,-70.2336,04106,Oil/gas from Gulf terminal,Sore throat,
1568515283,09/14/2019 22:41:23 -04:00,2,43.6296,-70.2738,04106,,,
1568587364,09/15/2019 18:42:44 -04:00,4,43.6515,-70.2328,04106,Bug light tanks ,Turned around on walk,
1568587547,09/15/2019 18:45:47 -04:00,3,43.6512,-70.2358,04106,Oil/gas ,Nausea ,
1568592907,09/15/2019 20:15:07 -04:00,2,43.6301,-70.2754,04106,,,
1568602153,09/15/2019 22:49:13 -04:00,4,43.6309,-70.2659,04106,Global tanks,,
1568602266,09/15/2019 22:51:06 -04:00,5,43.6302,-70.2734,04106,Oil ,,
1568614494,09/16/2019 02:14:54 -04:00,3,43.6255,-70.2797,04106,Fumes,,
1568618405,09/16/2019 03:20:05 -04:00,3,43.6259,-70.2787,04106,Oil,,
1568648892,09/16/2019 11:48:12 -04:00,3,43.6234,-70.2654,04106,,,
1568674879,09/16/2019 19:01:19 -04:00,3,43.6223,-70.2575,04106,Petroleum,,
1568688577,09/16/2019 22:49:37 -04:00,5,43.6306,-70.2691,04106,,,
1568711586,09/17/2019 05:13:06 -04:00,3,43.6417,-70.2372,04106,Bitter smelling oil,Nose burn and headache; woke me up from sleep so strong,
1568732119,09/17/2019 10:55:19 -04:00,4,43.6258,-70.2763,04106,,,
1568780291,09/18/2019 00:18:11 -04:00,5,43.6264,-70.2768,04106,,,
1568812525,09/18/2019 09:15:25 -04:00,4,43.6267,-70.2758,04106,,,
1568827216,09/18/2019 13:20:16 -04:00,5,43.6348,-70.2564,04106,Strong h2s smell,Throat irritated,
1568860827,09/18/2019 22:40:27 -04:00,5,43.6321,-70.2644,04106,,Nausea ,
1568897301,09/19/2019 08:48:21 -04:00,4,43.6245,-70.2779,04106,,,
1568900524,09/19/2019 09:42:04 -04:00,4,43.6266,-70.2794,04106,,,
1568910070,09/19/2019 12:21:10 -04:00,4,43.6475,-70.3101,04102,Exhaust fumes,,
